Unnamed: 0,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",affiliation,lab_size,Highest_degree,Degree_area,Publication Rate,Other Journals Published In,duration of Career(Years)
45,"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo GarcÅ__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1371/journal.ppat.1003981,2014,2-Feb,,,1.0,,"Duplicated, and shifted western blot panels",1,10/23/2014,,1.0,,1,"Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore",16,,Engineering,2.25,9,4
46,"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1371/journal.ppat.1004195,2014,6-Jun,,,1.0,,Rotated western blot,1,9/5/2014,,1.0,,1,"Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom",4,,Biology,1.2857142857142858,9,7
47,"Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan",Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,10.1371/journal.pntd.0002890,2014,1-Jan,,,,1,"duplicated, stretched blot panels with duplicated area within blot",1,9/30/2014,,1.0,,1,"CENAR and Department of Molecular Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia",5,BSc,N/A,1.4444444444444444,13,9
48,"Jianming Chen, Julian I. Rood, and Bruce A. McClane",Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,mBio 2(6):  2011,10.1128/mBio.00275-11,2011,mBio,,,1.0,,"Overlapping microscopy images, multiple times",1,1/27/2015,,1.0,,1,"Department of Microbiology and Molecular Genetics, University of Pittsburghgrid.21925.3d School of Medicine, Pittsburgh, Pennsylvania, USA.",7,PhD,N/A,17.647058823529413,300,17
49,"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown",The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,mBio 3(6): 2012,10.1128/mBio.00495-12,2012,mBio,,1.0,,,Duplicated western blots,1,1/20/2015,,1.0,,1,"School of Medical Sciences, University of Aberdeen, Institute of Medical Sciences, Foresterhill, Aberdeen, United Kingdom.",29,,N/A,3.375,27,8
50,"Anusha M. Gopalakrishnan, and Nirbhay Kumar",Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum,mBio 4(3): 2013,10.1128/mBio.00252-13,2013,mBio,,,1.0,,Duplicated agarose gel panels,1,2/3/2015,,1.0,,1,"Department of Tropical Medicine, Tulane University, School of Public Health and Tropical Medicine, New Orleans, Louisiana, USA.",5,Doctor of Philosophy,N/A,1.0,12,12
51,"Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold",Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,"Infect. Immun. June 1996, p. 2282Ä2287 Vol. 64, No. 6",PMID: 8675338,1996,IAI,,,,1,"Cut, and duplicated SDS PAGE parts",1,,,,1.0,1,"Department of Biomedical Sciences and Periodontics, Baylor College of Dentistry, Dallas, Texas, USA.",11,,N/A,8.857142857142858,62,7
52,"Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho",Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,"Infection, and Immunity, Jan. 1999, p. 80Ä87 Vol. 67, No. 1",PMID: 9864199,1999,IAI,,1.0,,,"Identical microscopy panels, might be error",1,,,,1.0,1,"Department of Biochemistry and Molecular Biology, Wright State University School of Medicine, Dayton, Ohio 45435, USA. bwilson@wright.edu",9,PhD Chemistry,N/A,6.909090909090909,76,11
53,"S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran",Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,"Infection, and Immunity, Jan. 2000, p. 72Ä79 Vol. 68, No. 1",10.1128/IAI.68.1.72-79.2000,2000,IAI,,,1.0,,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,"Department of Veterinary PathoBiology, College of Veterinary Medicine, University of Minnesota, St. Paul, Minnesota 55108, USA.",19,DVM,N/A,4.814814814814815,130,27
54,"S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran","Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects","Infection, and Immunity, Oct. 2001, p. 6131Ä6139 Vol. 69, No. 10",10.1128/IAI.69.10.6131-6139.2001,2001,IAI,,,,1,Multiple cases of shifted or duplicated blot panels,1,,,,1.0,1,"Department of Veterinary PathoBiology, College of Veterinary Medicine, University of Minnesota, St. Paul, Minnesota 55108, USA.",11,DVM,N/A,4.814814814814815,130,27
55,"Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada",Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,"Infect. Immun. Feb. 2003, p. 948Ä955 Vol. 71, No. 2",10.1128/IAI.71.2.948-955.2003,2003,IAI,,1.0,,,"duplicated blots, two sets",1,,,,1.0,1,"Department of Oral and Molecular Microbiology, Osaka University Graduate School of Dentistry, 1-8 Yamadaoka, Japan. okahashi@dent.osaka-u.ac.jp",15,,N/A,1.5789473684210527,30,19
56,"Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka",Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,"Infection and Immunity 73: Feb. 2003, p. 766Ä773",10.1128/IAI.71.2.766-773.2003,2003,IAI,,,1.0,,multiple cases of duplicated bands within same blot,CHECK,,,,1.0,1,"Laboratoire de Gastroentérologie et Nutrition, Faculté de Médecine, Université de Nice-Sophia Antipolis, 06107 Nice Cedex 2, France.",13,,N/A,1.5,18,12
57,"Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost",Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,"Infect. Immun. Mar. 2003, p. 1209Ä1216",10.1128/IAI.71.3.1209-1216.2003,2003,IAI,,1.0,,,duplicated microscopoy images,CHECK,,,,1.0,1,"Department of Biology, University of North Carolina at Charlotte, Charlotte, North Carolina 28223, USA. lwschrum@email.uncc.edu",13,,N/A,2.9411764705882355,50,17
58,"Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi",Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"Infect. Immun. Mar. 2004, p. 1223Ä1229 Vol. 72, No. 3",10.1128/IAI.72.3.1223-1229.2004,2004,IAI,,,1.0,,Mirrored blot,1,,,,1.0,1,"Department of Pediatrics, Dalhousie University, Halifax, Nova Scotia B3J 3G9, Canada.",13,,N/A,0.8333333333333334,10,12
59,"Peter L. W. Yun, Arthur A. Decarlo, Cheryl C. Chapple, and Neil Hunter",Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease,"Infect. Immun. Mar. 2005, p. 1386Ä1398 Vol. 73, No. 3",10.1128/IAI.73.3.1386-1398.2005,2005,IAI,,,1.0,,Overlapping microscopy panels,1,,,,1.0,1,"Institute of Dental Research, Westmead Millennium Institute and Centre for Oral Health, Westmead Hospital, P.O. Box 533, Wentworthville, Sydney, NSW 2145, Australia. plwyun@yahoo.com",9,,N/A,0.8,4,5
60,"Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen",Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury,"Infection, and Immunity, Mar. 2005, p. 1754Ä1763 Vol. 73, No. 3",10.1128/IAI.73.3.1754-1763.2005,2005,IAI,,,1.0,,Overlapping microscopy panels,1,,,,1.0,1,"Division of Respiratory Infections, Department of Medicine, National Jewish Medical and Research Center, 1400 Jackson St., Neustadt D-403, Denver, CO 80206, USA. JeyaseelanS@NJC.org",11,DVM,N/A,5.2727272727272725,58,11
61,"Ellen J. Beswick, Irina V. Pinchuk, Kyle Minch, Giovanni Suarez, Johanna C. Sierra, Yoshio Yamaoka, and Victor E. Reyes",The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production,"Infect. Immun. Feb. 2006, p. 1148Ä1155 Vol. 74, No. 2",10.1128/IAI.74.2.1148-1155.2006,2006,IAI,,1.0,,,Duplicated blot panel within other panel,1,,,,1.0,1,"Department of Pediatrics, Children's Hospital, Room 2.300, University of Texas Medical Branch, 301 University Blvd., Galveston, TX 77555, USA.",15,,N/A,3.25,52,16
62,"Catherine J. Hunter, Monica Williams, Mikael Petrosyan, Yigit Guner, Rahul Mittal, Dennis Mock, Jeffrey S. Upperman, Henri R. Ford, and Nemani V. Prasadarao",Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"Infect. Immun. Mar. 2009, p. 1031Ä1043 Vol. 77, No. 3",10.1128/IAI.01192-08,2009,IAI,,,1.0,,"Overlapping microscopy, mirrored blot panels, multiple cases",1,,,,1.0,1,Department of Surgery.,19,,N/A,9.833333333333334,59,6
63,"Suleyman Felek, and Eric S. Krukonis",The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__,"Infection, and Immunity, Feb. 2009, p. 825Ä836 Vol. 77, No. 2",10.1128/IAI.00913-08,2009,IAI,,,1.0,,Mirrored microscopy image,1,,,,1.0,1,"Department of Biologic and Materials Sciences, University of Michigan School of Dentistry, University of Michigan School of Medicine, Ann Arbor, Michigan, USA.",5,,N/A,1.7272727272727273,19,11
64,"Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler",Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__,"Infect. Immun. Mar. 2010, p. 994Ä1003 Vol. 78, No. 3",10.1128/IAI.00156-09,2010,IAI,,,1.0,,"Duplicated blot panels, different exposure",1,7/8/2015,,1.0,,1,None,0,,N/A,2.0526315789473686,39,19
65,"Min-Hee Cho, Hae-Jeong Ahn, Hyun-Joon Ha, Jungchan Park, Jeong-Hoon Chun, Bong-Su Kim, Hee-Bok Oh, and Gi-eun Rhie",Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"Infect. Immun. Mar. 2010, p. 994Ä1003 Vol. 78, No. 3",10.1128/IAI.00956-09,2010,IAI,,,1.0,,"Multiple cases of duplicated blots, stretched",1,,,,1.0,1,"Division of High-risk Pathogen Research, Center for Infectious Diseases, National Institute of Health, 194 Tongil-Lo, Eunpyung-gu, Seoul 122-701, Korea.",17,,N/A,1.2727272727272727,14,11
66,"Yuan Du, Tomomi Hashizume, Tomoko Kurita-Ochiai, Satoshi Yuzawa, Yoshimitsu Abiko, and Masafumi Yamamoto",Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,"Infect. Immun. Feb. 2011, p. 895Ä904 Vol. 79, No. 2",10.1128/IAI.01203-10,2011,IAI,,1.0,,,"Duplicated FACS plots, multiple cases",1,10/15/2015,,1.0,,1,"Department of Microbiology and Immunology, Nihon University School of Dentistry at Matsudo, 2-870-1 Sakaecho-Nishi, Matsudo, Chiba 271-8587, Japan.",13,,N/A,45.333333333333336,136,3
67,"Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet",Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,"Infect. Immun. May 2011, p. 1936Ä1950 Vol. 79, No. 5",10.1128/IAI.00805-10,2011,IAI,,,1.0,,"Duplicated blot strips, stretched",1,7/8/2015,,1.0,,1,"Université de Lyon, Université Lyon 1, CNRS UMR 5240 ""Microbiologie, Adaptation et Pathogénie,"" 69622 Villeurbanne, France.",15,,N/A,0.6,3,5
68,"Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, and Christopher L. King",Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"Infect. Immun. 2012, 80(8):2920",10.1128/IAI.00206-12,2012,IAI,,,1.0,,"duplicated, shifted, rotated blot strips/lanes",1,6/1/2015,1.0,,,1,"Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA",21,,Biology,0.6,3,5
69,"Balamayooran Theivanthiran, Sanjay Batra, Gayathriy Balamayooran, Shanshan Cai, Koichi Kobayashi, Richard A. Flavell, and Samithamby Jeyaseelan",NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,"Infect. Immun. 2012, 80(7):2558",10.1128/IAI.06230-11,2012,IAI,,,1.0,,"duplicated, shifted blot panels",1,5/1/2015,1.0,,,1,"Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research, Harvard Medical School, Boston, Massachusetts, USA",15,,N/A,0.8333333333333334,10,12
70,"Javier Santander, Greg Golden, Soo-Young Wanda, and Roy Curtiss III",Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,"Infect. Immun. 2012, 80(8):2689",10.1128/IAI.00013-12,2012,IAI,,,1.0,,rotated duplicated colony photo,1,12/1/2015,,1.0,,1,"The Biodesign Institute, Center for Infectious Diseases and Vaccinology, Arizona State University, Tempe, Arizona, USA. jasantanderm@asu.edu",9,Ph.D. Microbiology,N/A,7.0,49,7
71,"Kaitlyn Morse, Junzo Norimine, Guy H. Palmer, Eric L. Sutten, Timothy V. Baszler, and Wendy C. Brown","Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale","Infect. Immun. 2012, 80(1):215",10.1128/IAI.05798-11,2012,IAI,,,1.0,,"duplicated blot strips, slightly shifted",1,,,,1.0,1,"Program in Vector-Borne Diseases, Department of Veterinary Microbiology and Pathology, Paul G. Allen School for Global Animal Health, Washington State University, Pullman, Washington, USA.",13,DVM,N/A,0.6666666666666666,6,9
72,"Wael Abdel Halim Hegazy, Xin Xu, Leonid Metelitsa, and Michael Hensel",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Infect. Immun. 2012, 80(3):1193",10.1128/IAI.06056-11,2012,IAI,,1.0,,,"duplicated gel panels, exact duplicate",1,,,1.0,,1,"Mikrobiologisches Institut, Universitätsklinikum Erlangen, Erlangen, Germany.",9,Dr. rer. nat.,N/A,0.7777777777777778,7,9
73,"Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection","Infect. Immun. 2012, 80(8):2948",10.1128/IAI.00063-12,2012,IAI,,,1.0,,"very similar negative microscopy images, very similar cell grouping in other image",1,,,,1.0,1,"Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China.",11,,N/A,50.0,300,6
74,"Carlos J. Blondel, Juan C. Jime_nez, Lorenzo E. Leiva, Sergio A. Ã§lvarez, Bernardo I. Pinto, Francisca Contreras, David Pezoa, Carlos A. Santiviago, and InÅ½s Contrerasnd",The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,"Infect. Immun. 2013, 81(4):1207",10.1128/IAI.01165-12,2013,IAI,,,1.0,,duplicated/mirrored blot panels (negative blots),1,10/1/2015,,1.0,,1,"Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas, Universidad de Chile, Santiago, Chile.",19,PhD in Biochemistry,N/A,2.5,25,10
75,"Kelei Zhao, Xin Deng, Chuan He, Bisong Yue, and Min Wu",Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,"Infect. Immun. 2013, 81(12):4509",10.1128/IAI.01008-13,2013,IAI,,,,1,"duplicated blots, shifted, band duplicated within same panel",1,5/1/2015,1.0,,,1,"Department of Biochemistry and Molecular Biology, School of Medicine and Health Sciences, University of North Dakota, Grand Forks, North Dakota, USA",11,,N/A,6.428571428571429,45,7
76,"Whitney M. Amyot, Dennise deJesus, and Ralph R. Isberg ",Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System,"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",10.1128/IAI.00552-13,2013,IAI,,1.0,,,"duplicated gel panels, exact duplicate",1,10/1/2014,,1.0,,1,"Department of Molecular Biology and Microbiology, Graduate Program in Molecular Microbiology, Sackler School of Graduate Biomedical Science, Tufts University School of Medicine, Boston, Massachusetts, USA.",7,,Biology,1.0,4,4
77,"Xianqiong Zou, Brent S. Sorenson, Karen F. Ross, and Mark C. Herzberg",Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,"Infect. Immun. 2013, 81(11):3975",10.1128/IAI.00539-13,2013,IAI,,1.0,,,"duplicated actin blot panels, exact",1,3/1/2015,,1.0,,1,"Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA.",9,,Biology,1.0,3,3
78,"Xiucai Xu, Tingting Liu, Aimei Zhang, Xingxing Huo, Qingli Luo, Zhaowu Chen, Li Yu, Qing Li, Lili Liu, Zhao-rong Lun, and Jilong Shen","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice","Infect. Immun. 2012, 80(6):2121",10.1128/IAI.06295-11,2013,IAI,,,,1,"duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped",1,4/1/2015,1.0,,,1,"Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology, Anhui Medical University, Hefei, China",23,,N/A,3.7777777777777777,34,9
79,"Jiale Ma, Yinli Bao, Min Sun, Wenyang Dong, Zihao Pan, Wei Zhang, Chengping Lu, Huochun Yao",Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867Ä3879",10.1128/IAI.01769-14,2014,IAI,,,,1,Duplicated lanes within same blot,1,7/8/2015,,1.0,,1,"College of Veterinary Medicine, Nanjing Agricultural University, Nanjing, China Key Lab of Animal Bacteriology, Ministry of Agriculture, Nanjing, China.",17,master,N/A,23.333333333333332,70,3
80,"N. Zhi, N. Ohashi, Y. Rikihisa, H. W. Horowitz, G. P. Wormser, and K. Hechemy",Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,"J. Clin. Microbiol. 1998, 36(6):1666-1673",PMID: 9620397,1998,JCM,,1.0,,,duplication of whole blot?,1,,,,1.0,1,"Department of Veterinary Biosciences, College of Veterinary Medicine, The Ohio State University, Columbus 43210-1093, USA.",13,,Political Science,4.473684210526316,85,19
81,"Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker",Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,"J. Clin. Microbiol. 2003, 41(8):3584",10.1128/JCM.41.8.3584-3591.2003,2003,JCM,1.0,,,1,bands in gel appear to be spliced in,1,,,,1.0,1,"Department of Microbiology, Oregon State University, Corvallis, Oregon 9731, USA.",19,,N/A,50.6,253,5
82,"Sou-Ichi Makino, Toru Tobe, Hiroshi Asakura, Masahisa Watarai, Testuya Ikeda, Koichi Takeshi, and Chihiro Sasakawa",Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,"J. Clin. Microbiol. 2003, 41(6):2341",10.1128/JCM.41.6.2341-2347.2003,2003,JCM,1.0,,,1,"repetitive bands, and background in gel panel",1,,,,1.0,1,"Department of Applied Veterinary Science, Research Center for Animal Hygiene and Food Safety, Obihiro University of Agriculture and Veterinary Medicine, Hokkaido Institute of Public Health, Hokkaido, Japan. smakino@obihiro.ac.jp",15,,Psychology,5.409090909090909,119,22
83,"Chung-ming Chu, Patrick C. Y. Woo, Ken T. K. Chong, Wah-shing Leung, Veronica L. Chan, and Kwok-yung Yuen",Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma,"J. Clin. Microbiol. 2004, 42(2):665",10.1128/JCM.42.2.665-669.2004,2004,JCM,,1.0,,,multiple duplications of negative blot strips,1,,,,1.0,1,"Department of Medicine, United Christian Hospital, The University of Hong Kong, Hong Kong.",13,,N/A,2.3333333333333335,35,15
84,"Patrick C. Y. Woo, Susanna K. P. Lau, Beatrice H. L. Wong, Kwok-Hung Chan, Wai-Ting Hui, Grace S. W. Kwan, J. S. Malik Peiris, Robert B. Couch, and Kwok-Yung Yuen",False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide,"J. Clin. Microbiol. 2004, 42(12):5885",10.1128/JCM.42.12.5885-5888.2004,2004,JCM,,1.0,,,two similar looking western blot strips,1,,,,1.0,1,"Department of Microbiology, The University of Hong Kong, University Pathology Building, Queen Mary Hospital, Hong Kong. hkumicro@hkucc.hku.hk.",19,PhD,Computer Science,184.6,923,5
85,"Wulamu Mamuti, Hiroshi Yamasaki, Yasuhito Sako, Minoru Nakao, Ning Xiao, Kazuhiro Nakaya, Naoki Sato, Dominique A. Vuitton, Renaud Piarroux, Marshall W. Lightowlers, Philip S. Craig, and Akira Ito","Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis","J. Clin. Microbiol. 2004, 42(3):1082",10.1128/JCM.42.3.1082-1088.2004,2004,JCM,,1.0,,,duplication of whole panel?,1,,,,1.0,1,"Department of Parasitology, Asahikawa Medical College, Asahikawa, Japan.",25,,N/A,1.25,20,16
86,"Jean-Philippe Lavigne, He_lÅ¹ne Marchandin, Nicole Bouziges, and Albert SottoS",First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",10.1128/JCM.43.7.3512-3515.2005,2005,JCM,,,,1,gel panel appears to have patches,1,,,,1.0,1,"Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, CS83021, Avenue Kennedy, 30908 Nîmes Cedex 02, France.",9,MD,N/A,26.0,182,7
87,"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases,"J. Clin. Microbiol. 2005, 43(8):4002",10.1128/JCM.43.8.4002-4009.2005,2005,JCM,1.0,,,1,"duplicated background, pasted-in bands?",1,,,,1.0,1,"Department of Microbiology, Oregon State University, Corvallis, OR 97331, USA.",11,PhD,N/A,50.6,253,5
88,"Ana Mena, Virginia Plasencia, Laura Garci_a, Olga Hidalgo, JosÅ½ Ignacio Ayestarâ¡n, Sebastiâ¡n Alberti, Nuria Borrell, JosÅ½ L. PÅ½rez, and Antonio OliverW. Li",Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development,"J. Clin. Microbiol. 2006, 44(8):2831",10.1128/JCM.00418-06,2006,JCM,,,,1,duplicated bands within same gel panel,1,,,,1.0,1,"Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud, Palma de Mallorca, Spain.",19,Clinical Microbiologist,N/A,1.7857142857142858,25,14
89,"Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","J. Clin. Microbiol. 2006, 44(3):772",10.1128/JCM.44.3.772-776.2006,2006,JCM,,1.0,,,duplicated microscopy panel,1,,,,1.0,1,"Crete Veterinary Clinic, Nebraska 68333-0008, USA.",11,,N/A,0.2222222222222222,2,9
90,"Suharni Mohamad, Norhaida Che Azmi, and Rahmah Noordin","Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)","J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1128/JCM.00001-09,2009,JCM,1.0,,,1,2 adjacent lanes in same panel look very similar when one is stretched (multiplecases),1,,,,1.0,1,"Institute for Research in Molecular Medicine (INFORMM), Universiti Sains Malaysia, 11800 Penang, Malaysia.",7,B.Sc,N/A,3.6,18,5
